Unnamed: 0,city,keyword,urls
0,Mexico City,sightseeing,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/70/7b/ac.jpg https://www.planetware.com/photos-large/MEX/zocalo-plaza-de-la-constitucion.jpg https://www.tripsavvy.com/thmb/Ec9dlJ3armlGTYJoEjk3s-_6ZYs=/3936x2624/filters:no_upscale():max_bytes(150000):strip_icc()/TAM_5395-5c7997ef46e0fb0001edc80a.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/e8/e3/27/mexico-city-sightseeing.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs360x240/5885/SITours/early-morning-teotihuacan-pyramids-tour-with-a-private-archeologist-in-mexico-city-129865.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/70/7b/ac.jpg https://media.tacdn.com/media/attractions-splice-spp-360x240/06/70/7b/ac.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs360x240/2895/SITours/mexico-city-sightseeing-tour-in-mexico-city-136502.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/b1/00/69/private-tour-of-mexico.jpg http://www.destination360.com/north-america/mexico/mexico-city/images/s/mexico-city-attractions.jpg
1,Cancun,sightseeing,"https://cl.escapehere.com/image/upload/t_tn,f_auto,q_auto,$h_345,$w_840/eh/2015/01/Ik-Kil-Cenote-Mexico.jpg https://www.planetware.com/photos-large/MEX/mexico-cancun-el-rey-maya-ruins.jpg https://i1.wp.com/keepcalmandwander.com/wp-content/uploads/2017/08/Chitchen-Itza-Mexico-One-Day-Sightseeing-Tour-Outside-Cancun2.jpg?fit=690%2C452 https://i2.wp.com/keepcalmandwander.com/wp-content/uploads/2017/08/Valladolid-One-Day-Sightseeing-Tour-Outside-Cancun.jpg?resize=690%2C920 https://mediaim.expedia.com/localexpert/414540/8854d087-6f93-4d1a-80ad-3ea8df590bfc.jpg?impolicy=resizecrop&rw=350&rh=197 https://i.pinimg.com/originals/19/8d/22/198d228c4ad8ad6c57c5b219c85f2f78.jpg https://d3hne3c382ip58.cloudfront.net/resized/400x400/sightseeing-attractions-culture-and-history-tours-in-cancun-400X400_.JPG https://www.planetware.com/photos-large/MEX/mexico-cancun-excursions-chichen-itza-tulum.jpg https://www.4worldsexpeditions.com/wp-content/uploads/2017/11/reef-snorkeling-cancun-sightseeing.jpg https://www.planetware.com/wpimages/2019/08/mexico-cancun-top-attractions-scenic-tower-xcaret.jpg"
2,Amman,sightseeing,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/76/61.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/e6/47/0c/private-amman-city-sightseeing.jpg https://cdn.getyourguide.com/img/tour_img-1562196-146.jpg https://media-cdn.tripadvisor.com/media/photo-s/17/28/63/b5/private-jerash-and-amman.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/35/ff/cb.jpg https://cdn.projectexpedition.com/photos/5c7830a916a82_sized.jpg https://lonelyplanetimages.imgix.net/a/g/hi/t/4325bdf24da8cb3d129a26d3a77ecba2-amman.jpg?sharp=10&vib=20&w=1200 https://www.nationalgeographic.com/content/dam/travel/2016-digital/jordan/top-ten-amman/cityscape-amman-jordan.jpg https://cdn.getyourguide.com/img/tour_img-1565334-146.jpg
3,Ho Chi Minh City,sightseeing,http://static.asiawebdirect.com/m/bangkok/portals/vietnam/homepage/ho-chi-minh-city/attractions/pagePropertiesImage/ho-chi-minh-attractions.jpg.jpg https://vmtravel.com.vn/wp-content/uploads/2017/08/ho-chi-minh-city-haft-day-tour-2.jpg http://static.asiawebdirect.com/m/bangkok/portals/vietnam/homepage/ho-chi-minh-city/tours/pagePropertiesImage/ho-chi-minh-tour.jpg.jpg http://static.asiawebdirect.com/m/bangkok/portals/vietnam/homepage/ho-chi-minh-city/top10/top10-ho-chi-minh-attractions/pagePropertiesImage/best-attractions-ho-chi-minh.jpg.jpg https://cdn.tourradar.com/s3/tour/original/95651_9386addc.jpg https://www.itourvn.com/images/easyblog_articles/193/best-churches-in-ho-chi-minh-1.jpg https://img.traveltriangle.com/blog/wp-content/uploads/2018/10/cover-for-attractions-in-ho-chi-minh.jpg https://media-cdn.tripadvisor.com/media/photo-s/03/9b/2f/8f/ho-chi-minh-city.jpg https://hcmcgo.com/wp-content/uploads/sites/13/2016/04/HCMC-Suoi-Tien-park-Ho-Chi-Minh-City.jpg
4,Hong Kong,sightseeing,https://media.timeout.com/images/103812417/630/472/image.jpg http://static.asiawebdirect.com/m/phuket/portals/hong-kong-hotels-ws/homepage/attractions/pagePropertiesImage/hong-kong-attractions.jpg.jpg https://media.timeout.com/images/103370389/image.jpg https://www.planetware.com/photos-large/HK/hong-kong-wong-tai-sin-temple.jpg https://media.timeout.com/images/103370389/630/472/image.jpg https://www.planetware.com/photos-large/HK/hong-kong-star-ferry-sailing.jpg http://static.asiawebdirect.com/m/phuket/portals/hong-kong-hotels-ws/homepage/attractions/10mustsee/pagePropertiesImage/best-things-to-do-hong-kong.jpg.jpg https://www.planetware.com/wpimages/2018/10/hong-kong-attractions-big-buddha-and-forest.jpg https://img1.10bestmedia.com/Images/Photos/232354/p-CNH-TMP-PLN-8001_55_660x440_201404241405.JPG https://www.hongkongpass.com.hk/siteimg/newpages/big%20buddha%20guide%202.jpg
5,Zhuhai,sightseeing,http://www.tour-beijing.com/blog/wp-content/uploads/New-Yuanming-Palace.jpg https://images.chinahighlights.com/attraction/zhuhai/zhuhai-museum/zhuhai-museum1.jpg https://i.ytimg.com/vi/cCmxP6x8F3E/maxresdefault.jpg https://newcastlebeach.org/images/zhuhai-sightseeing-13.jpg http://www.tour-beijing.com/blog/wp-content/uploads/Statue-of-Fisher-Girl.jpg https://newcastlebeach.org/images/zhuhai-sightseeing-10.jpg https://china.findworkabroad.com/img/city-guide/zhuhai-beach.jpg http://www.tour-beijing.com/blog/wp-content/uploads/Pearl-Amusement-Park.jpg https://www.tripyoda.com/wp-content/uploads/2018/01/Zhuhai-China-750x500.jpg http://static.trip101.com/paragraph_media/pictures/001/705/960/large/Hebao.jpg?1565844019
6,Phuket,sightseeing,http://static.asiawebdirect.com/m/phuket/portals/phuket-com/homepage/island/attract/pagePropertiesImage/phuket-attractions.jpg.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6b/8d/52.jpg http://static.asiawebdirect.com/m/phuket/portals/phuket-com/homepage/island/10mustsee/pagePropertiesImage/phuket-best-thing-to-do.jpg.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/32/81/42/the-real-phuket-sightseeing.jpg https://www.phuketalltours.com/uploads/package_tours/tour_trip/tourtrip_15593208551693543873.jpg https://cdn.thecrazytourist.com/wp-content/uploads/2018/07/ccimage-shutterstock_694353502.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/6b/8d/52.jpg https://www.planetware.com/photos-large/THA/phuket-island.jpg https://www.phuketalltours.com/uploads/package_tours/tour_trip/tourtrip_1559320855984782353.jpg http://static.asiawebdirect.com/m/phuket/portals/phuket-com/homepage/tours/pagePropertiesImage/phuket-tours.jpg.jpg
7,Kuala Lumpur,sightseeing,http://static.asiawebdirect.com/m/kl/portals/kuala-lumpur-ws/homepage/attractions/10-things-to-see/pagePropertiesImage/kuala-lumpur-attractions.jpg.jpg https://assets.traveltriangle.com/blog/wp-content/uploads/2016/02/Petronas-Twin-Towers-in-Kuala-Lumpur.jpg http://static.asiawebdirect.com/m/kl/portals/kuala-lumpur-ws/homepage/attractions/pagePropertiesImage/kl-attractions.jpg.jpg https://k6u8v6y8.stackpathcdn.com/blog/wp-content/uploads/2018/11/must-see-attractions-kuala-lumpur.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6a/d9/ce.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/99/36/84.jpg https://www.holidaygenie.com/blog/wp-content/uploads/2018/07/kuala-lumpur-850x459.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/3c/d0/1e.jpg http://static.asiawebdirect.com/m/kl/portals/kuala-lumpur-ws/homepage/attractions/all-attractions/allParagraphs/BucketComponent/ListingContainer/03/image/600-batuvae05.jpg
8,Phnom Penh,sightseeing,https://www.planetware.com/photos-large/CAM/cambodia-phnom-penh-royal-palace.jpg https://cdn.thecrazytourist.com/wp-content/uploads/2018/09/ccimage-shutterstock_409238395.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/d6/22/a2/full-day-phnom-penh-sightseein.jpg https://www.planetware.com/photos-large/CAM/cambodia-phnom-penh-national-museum.jpg https://d27k8xmh3cuzik.cloudfront.net/wp-content/uploads/2018/07/phnom-penh-castle-city-road-street-og.jpg https://angkorfocus.com/backoffice/uploads/attraction-What%20to%20see%20in%20Phnom%20Penh%20Museum.jpg https://angkorfocus.com/backoffice/uploads/travelstyle-Phnom-Penh-Attractions.jpg
9,Chennai,sightseeing,http://www.daisyvega.com/wp-content/uploads/2018/01/Chennai.jpg https://www.oyorooms.com/travel-guide/wp-content/uploads/2019/01/San-Thome-Cathedral.jpg https://www.trawell.in/admin/images/upload/786367245Chennai_MGR_Memorial_Main.jpg https://static-blog.treebo.com/wp-content/uploads/2018/05/Kapaleeshwarar-Temple.jpg http://www.transindiatravels.com/wp-content/uploads/marina-beach.jpg https://www.holidify.com/images/bgImages/CHENNAI%20.jpg https://apollovoyages.com/wp-content/uploads/2017/08/KERALA-INVITES--e1503640212456.jpg https://www.tirupatibalajidarshanbooking.co.in/images/chennai-sightseeing-tours.jpg
10,Jaipur,sightseeing,"https://www.jaipurtravel.com/jaipur18.jpg https://img.traveltriangle.com/blog/wp-content/tr:w-700,h-400/uploads/2015/07/Amer-Fort.jpg https://5.imimg.com/data5/MY/OQ/GLADMIN-51194010/jaipur-sightseeing-tour-500x500.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/e7/1f/93.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/f2/65/6b.jpg https://www.tripsavvy.com/thmb/_iCWaExfdRoC4TkoraVmghFlb5A=/2143x1399/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-473532064-5ab25b7b119fa80037e1697c.jpg https://www.jaipurtravel.com/jaipur%20photoes/Birla-temple-2.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/20/90/d0.jpg?fit=crop&w=320&h=140"
